iteration,resolution,confignr
1.0,-0.0009135347581202025,3.0
2.0,0.04284422216978738,4.0
3.0,0.06414425055624498,5.0
4.0,0.0820307923172515,6.0
5.0,0.1037138737719642,7.0
6.0,0.12175041201133856,8.0
7.0,0.1454761068702627,9.0
8.0,0.15733648274278933,10.0
9.0,0.17673566202546892,11.0
10.0,0.19724449972359856,12.0
11.0,0.21124575641537255,13.0
12.0,0.22903514824790494,14.0
13.0,0.24117922552734083,15.0
14.0,0.2621251172662715,16.0
15.0,0.2722367901574952,17.0
16.0,0.28313546787029376,18.0
17.0,0.3045587623463655,19.0
18.0,0.3252070090581134,20.0
19.0,0.3420459990343646,21.0
20.0,0.3723941941071885,22.0
21.0,0.3904445266966521,23.0
22.0,0.413919608509333,24.0
23.0,0.4335034082239964,25.0
24.0,0.44483711337415566,26.0
25.0,0.4526599175661286,27.0
26.0,0.4593007440031904,28.0
27.0,0.47259902638505735,29.0
28.0,0.4861773728116284,30.0
29.0,0.49547175781707725,31.0
30.0,0.5027107806032334,32.0
31.0,0.5109836179356215,33.0
32.0,0.5177635879702096,34.0
33.0,0.5257412361513933,35.0
34.0,0.5353793698832687,36.0
35.0,0.54125902084738,37.0
36.0,0.5463527816593645,38.0
37.0,0.5579142302801551,39.0
38.0,0.5672738764748015,40.0
39.0,0.5840052371019901,41.0
40.0,0.6043421846674399,42.0
41.0,0.609479965042048,43.0
42.0,0.6177527449019311,44.0
43.0,0.6231713904895813,45.0
44.0,0.6312665527354373,46.0
45.0,0.636870521964303,47.0
46.0,0.6415884436909489,48.0
47.0,0.6462574284125566,49.0
48.0,0.656511711948641,50.0
49.0,0.665956844175392,51.0
50.0,0.6760046991984637,52.0
51.0,0.6823268024886895,53.0
52.0,0.688524165503331,54.0
53.0,0.6935603482603778,55.0
54.0,0.6973460394947473,56.0
55.0,0.7002511862922942,57.0
56.0,0.7022151954466256,58.0
57.0,0.7038999694843326,59.0
58.0,0.7055921121490377,60.0
59.0,0.7073039020152072,61.0
60.0,0.7088534502062878,62.0
61.0,0.7149003545213164,63.0
62.0,0.7187136004590009,64.0
63.0,0.7202539795018876,65.0
64.0,0.7225625269368363,66.0
65.0,0.7240289306684824,67.0
66.0,0.7256357834430747,68.0
67.0,0.727967009650709,69.0
68.0,0.7314485938602697,70.0
69.0,0.7332383365983216,71.0
70.0,0.7376999388613183,72.0
71.0,0.740217971865228,73.0
72.0,0.7432883768802974,74.0
73.0,0.7456100091805927,75.0
74.0,0.7506337223938138,76.0
75.0,0.753324546027997,77.0
76.0,0.760129451792658,78.0
77.0,0.763193454362959,79.0
78.0,0.7658577822917197,80.0
79.0,0.7705408948666556,81.0
80.0,0.77299119247774,82.0
81.0,0.7750031060098566,83.0
82.0,0.7770865202957917,84.0
83.0,0.7821918131817066,85.0
84.0,0.7872177309508164,86.0
85.0,0.7915358032397368,87.0
86.0,0.7948929737276339,88.0
87.0,0.7977931750643348,89.0
88.0,0.7998957567509135,90.0
89.0,0.8020699753414469,91.0
90.0,0.8039013892155974,92.0
91.0,0.8057194920691653,93.0
92.0,0.8096910180214616,94.0
93.0,0.811424894686294,95.0
94.0,0.8131736260945566,96.0
95.0,0.8151913673145641,97.0
96.0,0.8171842698643688,98.0
97.0,0.8191265688402991,99.0
98.0,0.8208762872560043,100.0
